state_abbr,year,repay_rate_category,meanStateApprop_byYear,meanTuition_byYear,meanRepayRate_byYear,meanRepayRate_byYearStateAndIncome,meanRepayRate_byStateAndIncome,meanStateApprop_byState,meanTuition_byState,meanStateApprop_byYearAndState,meanTuition_byYearAndState
AK,2007,repay_rate_highincome,87809339.5775862,4407.140575079872,0.5805351814688301,0.7672926666666666,0.69038095833333335,107309020.83333333,4848,100166365.33333333,4080
AK,2007,repay_rate_lowincome,87809339.5775862,4407.140575079872,0.5805351814688301,0.6101113333333333,0.46438820833333333,107309020.83333333,4848,100166365.33333333,4080
AK,2007,repay_rate_midincome,87809339.5775862,4407.140575079872,0.5805351814688301,0.7089936666666666,0.5901536666666667,107309020.83333333,4848,100166365.33333333,4080
AK,2007,repay_rate_hilodiff,87809339.5775862,4407.140575079872,0.5805351814688301,0.15718133333333334,0.22599275,107309020.83333333,4848,100166365.33333333,4080
AK,2008,repay_rate_lowincome,83696878.17900172,4647.194888178914,0.5481490175213676,0.5563853333333333,0.46438820833333333,107309020.83333333,4848,96675072,4275
AK,2008,repay_rate_highincome,83696878.17900172,4647.194888178914,0.5481490175213676,0.721465,0.69038095833333335,107309020.83333333,4848,96675072,4275
AK,2008,repay_rate_hilodiff,83696878.17900172,4647.194888178914,0.5481490175213676,0.16507966666666668,0.22599275,107309020.83333333,4848,96675072,4275
AK,2008,repay_rate_midincome,83696878.17900172,4647.194888178914,0.5481490175213676,0.6640283333333333,0.5901536666666667,107309020.83333333,4848,96675072,4275
AK,2009,repay_rate_highincome,77839416.36060101,5002.924031007752,0.5205521902040816,0.7146183333333334,0.69038095833333335,107309020.83333333,4848,101075559.33333333,4500
AK,2009,repay_rate_midincome,77839416.36060101,5002.924031007752,0.5205521902040816,0.6135793333333334,0.5901536666666667,107309020.83333333,4848,101075559.33333333,4500
AK,2009,repay_rate_lowincome,77839416.36060101,5002.924031007752,0.5205521902040816,0.49335433333333334,0.46438820833333333,107309020.83333333,4848,101075559.33333333,4500
AK,2009,repay_rate_hilodiff,77839416.36060101,5002.924031007752,0.5205521902040816,0.221264,0.22599275,107309020.83333333,4848,101075559.33333333,4500
AK,2010,repay_rate_highincome,77719794.94224423,5275.549770290965,0.49959436894360604,0.70764,0.69038095833333335,107309020.83333333,4848,104520452,4755
AK,2010,repay_rate_midincome,77719794.94224423,5275.549770290965,0.49959436894360604,0.5759966666666667,0.5901536666666667,107309020.83333333,4848,104520452,4755
AK,2010,repay_rate_lowincome,77719794.94224423,5275.549770290965,0.49959436894360604,0.4524606666666667,0.46438820833333333,107309020.83333333,4848,104520452,4755
AK,2010,repay_rate_hilodiff,77719794.94224423,5275.549770290965,0.49959436894360604,0.2551793333333333,0.22599275,107309020.83333333,4848,104520452,4755
AK,2011,repay_rate_highincome,72368615.25370675,5851.360856269113,0.4829237395915161,0.6760056666666667,0.69038095833333335,107309020.83333333,4848,107761360,5115
AK,2011,repay_rate_hilodiff,72368615.25370675,5851.360856269113,0.4829237395915161,0.2797963333333333,0.22599275,107309020.83333333,4848,107761360,5115
AK,2011,repay_rate_midincome,72368615.25370675,5851.360856269113,0.4829237395915161,0.5402006666666667,0.5901536666666667,107309020.83333333,4848,107761360,5115
AK,2011,repay_rate_lowincome,72368615.25370675,5851.360856269113,0.4829237395915161,0.3962093333333333,0.46438820833333333,107309020.83333333,4848,107761360,5115
AK,2012,repay_rate_lowincome,72138635.56953642,6120.6312594840665,0.4693932381874516,0.3859936666666667,0.46438820833333333,107309020.83333333,4848,112230259.33333333,5475
AK,2012,repay_rate_midincome,72138635.56953642,6120.6312594840665,0.4693932381874516,0.53599,0.5901536666666667,107309020.83333333,4848,112230259.33333333,5475
AK,2012,repay_rate_highincome,72138635.56953642,6120.6312594840665,0.4693932381874516,0.6481703333333333,0.69038095833333335,107309020.83333333,4848,112230259.33333333,5475
AK,2012,repay_rate_hilodiff,72138635.56953642,6120.6312594840665,0.4693932381874516,0.26217666666666667,0.22599275,107309020.83333333,4848,112230259.33333333,5475
AK,2013,repay_rate_hilodiff,76838763.23606557,6327.695454545455,0.4631506869699306,0.23873566666666665,0.22599275,107309020.83333333,4848,118274318.66666667,5208
AK,2013,repay_rate_lowincome,76838763.23606557,6327.695454545455,0.4631506869699306,0.39453933333333335,0.46438820833333333,107309020.83333333,4848,118274318.66666667,5208
AK,2013,repay_rate_highincome,76838763.23606557,6327.695454545455,0.4631506869699306,0.633275,0.69038095833333335,107309020.83333333,4848,118274318.66666667,5208
AK,2013,repay_rate_midincome,76838763.23606557,6327.695454545455,0.4631506869699306,0.5362093333333333,0.5901536666666667,107309020.83333333,4848,118274318.66666667,5208
AK,2014,repay_rate_lowincome,77805035.5120773,6465.671641791045,0.4628234650986343,0.42605166666666666,0.46438820833333333,107309020.83333333,4848,117768780,5376
AK,2014,repay_rate_hilodiff,77805035.5120773,6465.671641791045,0.4628234650986343,0.228529,0.22599275,107309020.83333333,4848,117768780,5376
AK,2014,repay_rate_midincome,77805035.5120773,6465.671641791045,0.4628234650986343,0.5462313333333333,0.5901536666666667,107309020.83333333,4848,117768780,5376
AK,2014,repay_rate_highincome,77805035.5120773,6465.671641791045,0.4628234650986343,0.6545806666666667,0.69038095833333335,107309020.83333333,4848,117768780,5376
AL,2007,repay_rate_highincome,87809339.5775862,4407.140575079872,0.5805351814688301,0.7318192142857143,0.6064865446428571,77220817.375,6071.392857142857,99802789.35714285,4176.857142857143
AL,2007,repay_rate_midincome,87809339.5775862,4407.140575079872,0.5805351814688301,0.6863167857142858,0.5129469821428572,77220817.375,6071.392857142857,99802789.35714285,4176.857142857143
AL,2007,repay_rate_hilodiff,87809339.5775862,4407.140575079872,0.5805351814688301,0.18032214285714285,0.24464075,77220817.375,6071.392857142857,99802789.35714285,4176.857142857143
AL,2007,repay_rate_lowincome,87809339.5775862,4407.140575079872,0.5805351814688301,0.5514970714285714,0.36184579464285715,77220817.375,6071.392857142857,99802789.35714285,4176.857142857143
AL,2008,repay_rate_highincome,83696878.17900172,4647.194888178914,0.5481490175213676,0.6752878571428571,0.6064865446428571,77220817.375,6071.392857142857,79130883.71428572,4738
AL,2008,repay_rate_lowincome,83696878.17900172,4647.194888178914,0.5481490175213676,0.43573321428571427,0.36184579464285715,77220817.375,6071.392857142857,79130883.71428572,4738
AL,2008,repay_rate_hilodiff,83696878.17900172,4647.194888178914,0.5481490175213676,0.23955464285714284,0.24464075,77220817.375,6071.392857142857,79130883.71428572,4738
AL,2008,repay_rate_midincome,83696878.17900172,4647.194888178914,0.5481490175213676,0.5941759285714285,0.5129469821428572,77220817.375,6071.392857142857,79130883.71428572,4738
AL,2009,repay_rate_highincome,77839416.36060101,5002.924031007752,0.5205521902040816,0.6395665714285714,0.6064865446428571,77220817.375,6071.392857142857,71948590.5,5206.285714285715
AL,2009,repay_rate_hilodiff,77839416.36060101,5002.924031007752,0.5205521902040816,0.28729785714285716,0.24464075,77220817.375,6071.392857142857,71948590.5,5206.285714285715
AL,2009,repay_rate_lowincome,77839416.36060101,5002.924031007752,0.5205521902040816,0.35226871428571427,0.36184579464285715,77220817.375,6071.392857142857,71948590.5,5206.285714285715
AL,2009,repay_rate_midincome,77839416.36060101,5002.924031007752,0.5205521902040816,0.5279579285714285,0.5129469821428572,77220817.375,6071.392857142857,71948590.5,5206.285714285715
AL,2010,repay_rate_highincome,77719794.94224423,5275.549770290965,0.49959436894360604,0.6000192857142858,0.6064865446428571,77220817.375,6071.392857142857,71523781.85714285,5934.714285714285
AL,2010,repay_rate_hilodiff,77719794.94224423,5275.549770290965,0.49959436894360604,0.268054,0.24464075,77220817.375,6071.392857142857,71523781.85714285,5934.714285714285
AL,2010,repay_rate_midincome,77719794.94224423,5275.549770290965,0.49959436894360604,0.498872,0.5129469821428572,77220817.375,6071.392857142857,71523781.85714285,5934.714285714285
AL,2010,repay_rate_lowincome,77719794.94224423,5275.549770290965,0.49959436894360604,0.33196528571428574,0.36184579464285715,77220817.375,6071.392857142857,71523781.85714285,5934.714285714285
AL,2011,repay_rate_lowincome,72368615.25370675,5851.360856269113,0.4829237395915161,0.31068557142857145,0.36184579464285715,77220817.375,6071.392857142857,74944514.78571428,6528
AL,2011,repay_rate_highincome,72368615.25370675,5851.360856269113,0.4829237395915161,0.5595616428571428,0.6064865446428571,77220817.375,6071.392857142857,74944514.78571428,6528
AL,2011,repay_rate_hilodiff,72368615.25370675,5851.360856269113,0.4829237395915161,0.24887607142857143,0.24464075,77220817.375,6071.392857142857,74944514.78571428,6528
AL,2011,repay_rate_midincome,72368615.25370675,5851.360856269113,0.4829237395915161,0.47002814285714284,0.5129469821428572,77220817.375,6071.392857142857,74944514.78571428,6528
AL,2012,repay_rate_highincome,72138635.56953642,6120.6312594840665,0.4693932381874516,0.5510294285714286,0.6064865446428571,77220817.375,6071.392857142857,72359106.35714285,6945.142857142857
AL,2012,repay_rate_hilodiff,72138635.56953642,6120.6312594840665,0.4693932381874516,0.2525907142857143,0.24464075,77220817.375,6071.392857142857,72359106.35714285,6945.142857142857
AL,2012,repay_rate_lowincome,72138635.56953642,6120.6312594840665,0.4693932381874516,0.2984387142857143,0.36184579464285715,77220817.375,6071.392857142857,72359106.35714285,6945.142857142857
AL,2012,repay_rate_midincome,72138635.56953642,6120.6312594840665,0.4693932381874516,0.44693214285714283,0.5129469821428572,77220817.375,6071.392857142857,72359106.35714285,6945.142857142857
AL,2013,repay_rate_lowincome,76838763.23606557,6327.695454545455,0.4631506869699306,0.2999191428571429,0.36184579464285715,77220817.375,6071.392857142857,73777534.14285715,7332
AL,2013,repay_rate_highincome,76838763.23606557,6327.695454545455,0.4631506869699306,0.5469045,0.6064865446428571,77220817.375,6071.392857142857,73777534.14285715,7332
AL,2013,repay_rate_hilodiff,76838763.23606557,6327.695454545455,0.4631506869699306,0.24698535714285713,0.24464075,77220817.375,6071.392857142857,73777534.14285715,7332
AL,2013,repay_rate_midincome,76838763.23606557,6327.695454545455,0.4631506869699306,0.43682835714285717,0.5129469821428572,77220817.375,6071.392857142857,73777534.14285715,7332
AL,2014,repay_rate_midincome,77805035.5120773,6465.671641791045,0.4628234650986343,0.44246457142857143,0.5129469821428572,77220817.375,6071.392857142857,74279338.28571428,7710.142857142857
AL,2014,repay_rate_lowincome,77805035.5120773,6465.671641791045,0.4628234650986343,0.31425864285714283,0.36184579464285715,77220817.375,6071.392857142857,74279338.28571428,7710.142857142857
AL,2014,repay_rate_highincome,77805035.5120773,6465.671641791045,0.4628234650986343,0.5477038571428572,0.6064865446428571,77220817.375,6071.392857142857,74279338.28571428,7710.142857142857
AL,2014,repay_rate_hilodiff,77805035.5120773,6465.671641791045,0.4628234650986343,0.2334452142857143,0.24464075,77220817.375,6071.392857142857,74279338.28571428,7710.142857142857
AR,2007,repay_rate_highincome,87809339.5775862,4407.140575079872,0.5805351814688301,0.6264816363636364,0.7000311034482759,52458321.01136363,4801.079545454545,52412614.90909091,4145.181818181818
AR,2007,repay_rate_midincome,87809339.5775862,4407.140575079872,0.5805351814688301,0.6410911818181818,0.6310348850574713,52458321.01136363,4801.079545454545,52412614.90909091,4145.181818181818
AR,2007,repay_rate_lowincome,87809339.5775862,4407.140575079872,0.5805351814688301,0.5555725454545455,0.5267034545454545,52458321.01136363,4801.079545454545,52412614.90909091,4145.181818181818
AR,2007,repay_rate_hilodiff,87809339.5775862,4407.140575079872,0.5805351814688301,0.07090909090909091,0.17634001149425288,52458321.01136363,4801.079545454545,52412614.90909091,4145.181818181818
AR,2008,repay_rate_highincome,83696878.17900172,4647.194888178914,0.5481490175213676,0.7142958181818182,0.7000311034482759,52458321.01136363,4801.079545454545,51717134.63636363,4382.727272727273
AR,2008,repay_rate_midincome,83696878.17900172,4647.194888178914,0.5481490175213676,0.6608342727272727,0.6310348850574713,52458321.01136363,4801.079545454545,51717134.63636363,4382.727272727273
AR,2008,repay_rate_lowincome,83696878.17900172,4647.194888178914,0.5481490175213676,0.5652143636363637,0.5267034545454545,52458321.01136363,4801.079545454545,51717134.63636363,4382.727272727273
AR,2008,repay_rate_hilodiff,83696878.17900172,4647.194888178914,0.5481490175213676,0.14908145454545454,0.17634001149425288,52458321.01136363,4801.079545454545,51717134.63636363,4382.727272727273
AR,2009,repay_rate_lowincome,77839416.36060101,5002.924031007752,0.5205521902040816,0.5494236363636363,0.5267034545454545,52458321.01136363,4801.079545454545,52658890.72727273,4487
AR,2009,repay_rate_highincome,77839416.36060101,5002.924031007752,0.5205521902040816,0.7419732,0.7000311034482759,52458321.01136363,4801.079545454545,52658890.72727273,4487
AR,2009,repay_rate_midincome,77839416.36060101,5002.924031007752,0.5205521902040816,0.6475994,0.6310348850574713,52458321.01136363,4801.079545454545,52658890.72727273,4487
AR,2009,repay_rate_hilodiff,77839416.36060101,5002.924031007752,0.5205521902040816,0.2164851,0.17634001149425288,52458321.01136363,4801.079545454545,52658890.72727273,4487
AR,2010,repay_rate_midincome,77719794.94224423,5275.549770290965,0.49959436894360604,0.6386585454545455,0.6310348850574713,52458321.01136363,4801.079545454545,52343203.09090909,4674.363636363636
AR,2010,repay_rate_lowincome,77719794.94224423,5275.549770290965,0.49959436894360604,0.5313813636363637,0.5267034545454545,52458321.01136363,4801.079545454545,52343203.09090909,4674.363636363636
AR,2010,repay_rate_highincome,77719794.94224423,5275.549770290965,0.49959436894360604,0.7249057272727273,0.7000311034482759,52458321.01136363,4801.079545454545,52343203.09090909,4674.363636363636
AR,2010,repay_rate_hilodiff,77719794.94224423,5275.549770290965,0.49959436894360604,0.19352436363636363,0.17634001149425288,52458321.01136363,4801.079545454545,52343203.09090909,4674.363636363636
AR,2011,repay_rate_highincome,72368615.25370675,5851.360856269113,0.4829237395915161,0.6928941818181819,0.7000311034482759,52458321.01136363,4801.079545454545,52358133.81818182,4911.909090909091
AR,2011,repay_rate_lowincome,72368615.25370675,5851.360856269113,0.4829237395915161,0.5141853636363636,0.5267034545454545,52458321.01136363,4801.079545454545,52358133.81818182,4911.909090909091
AR,2011,repay_rate_hilodiff,72368615.25370675,5851.360856269113,0.4829237395915161,0.1787088181818182,0.17634001149425288,52458321.01136363,4801.079545454545,52358133.81818182,4911.909090909091
AR,2011,repay_rate_midincome,72368615.25370675,5851.360856269113,0.4829237395915161,0.615454909090909,0.6310348850574713,52458321.01136363,4801.079545454545,52358133.81818182,4911.909090909091
AR,2012,repay_rate_highincome,72138635.56953642,6120.6312594840665,0.4693932381874516,0.694802,0.7000311034482759,52458321.01136363,4801.079545454545,52685805.18181818,5030.545454545455
AR,2012,repay_rate_lowincome,72138635.56953642,6120.6312594840665,0.4693932381874516,0.4951591818181818,0.5267034545454545,52458321.01136363,4801.079545454545,52685805.18181818,5030.545454545455
AR,2012,repay_rate_midincome,72138635.56953642,6120.6312594840665,0.4693932381874516,0.6004131818181818,0.6310348850574713,52458321.01136363,4801.079545454545,52685805.18181818,5030.545454545455
AR,2012,repay_rate_hilodiff,72138635.56953642,6120.6312594840665,0.4693932381874516,0.19964281818181817,0.17634001149425288,52458321.01136363,4801.079545454545,52685805.18181818,5030.545454545455
AR,2013,repay_rate_lowincome,76838763.23606557,6327.695454545455,0.4631506869699306,0.48965245454545453,0.5267034545454545,52458321.01136363,4801.079545454545,54306629.54545455,5227.181818181818
AR,2013,repay_rate_midincome,76838763.23606557,6327.695454545455,0.4631506869699306,0.6105114545454545,0.6310348850574713,52458321.01136363,4801.079545454545,54306629.54545455,5227.181818181818
